sim_id,step,time,model,theta,p,omega,v,u
0,0,0.0,model_a,-0.03695446113546391,-0.38132253956343853,0.04692768734449766,0.16795127534406878,-0.7566978335380554
0,0,0.0,model_b,-0.03695446113546391,-0.38132253956343853,0.04692768734449766,0.16795127534406878,-0.7070770859718323
0,0,0.0,model_rnn,-0.03695446113546391,-0.38132253956343853,0.04692768734449766,0.16795127534406878,0.03918595612049103
0,1,0.1,model_a,-0.07508671509180777,-0.49940636465341814,0.06372281487890455,-0.012363469554582174,-0.8249885439872742
0,1,0.1,model_b,-0.07508671509180777,-0.4903853127458788,0.06372281487890455,0.010194122289022889,-0.5322586297988892
0,1,0.1,model_rnn,-0.07508671509180777,-0.35471469169349445,0.06372281487890455,0.34944530122419304,-0.08706775307655334
0,2,0.2,model_a,-0.12502735155714959,-0.6232669776964812,0.06248646792344633,-0.16597979070406635,-0.8345232009887695
0,2,0.2,model_b,-0.12412524636639566,-0.5611918105342106,0.06474222710780683,-0.01075763773221447,-0.4838313162326813
0,2,0.2,model_rnn,-0.11055818426115721,-0.34705469339685907,0.09866734500132385,0.5247043005030461,-0.2138138711452484
0,3,0.30000000000000004,model_a,-0.18735404932679772,-0.7469372037662263,0.0458884888530397,-0.32215008610948076,-0.5003916025161743
0,3,0.30000000000000004,model_b,-0.18024442741981672,-0.6216330555676727,0.06366646333458538,-0.003293914144721549,-0.4678475558757782
0,3,0.30000000000000004,model_rnn,-0.14526365360084312,-0.3532358784323885,0.15113777505162845,0.7509600184131012,-0.36681148409843445
0,4,0.4,model_a,-0.26204776970342036,-0.812048146924704,0.01367348024209162,-0.3725529799004219,-0.11342856287956238
0,4,0.4,model_b,-0.242407732976584,-0.678355973965223,0.06333707192011323,0.01083165695238289,-0.46682652831077576
0,4,0.4,model_rnn,-0.18058724144408198,-0.37309418598271415,0.22623377689293858,1.0715575603766143,-0.5193442106246948
0,5,0.5,model_a,-0.3432525843958908,-0.8142352621134676,-0.023581817747950574,-0.34453276780950687,0.24138003587722778
0,5,0.5,model_b,-0.3102433303731063,-0.7339489587617086,0.06442023761535152,0.026975171659018915,-0.44269636273384094
0,5,0.5,model_rnn,-0.2178966600423534,-0.4002483607259158,0.33338953293060003,1.5578816307964023,-0.6633085012435913
0,6,0.6000000000000001,model_a,-0.42467611060723753,-0.7618367097045498,-0.058035094528901265,-0.27128652317521584,0.5253345966339111
0,6,0.6000000000000001,model_b,-0.3836382262492772,-0.7838537569426743,0.06711775478125341,0.05999526771606167,-0.43497234582901
0,6,0.6000000000000001,model_rnn,-0.25792149611494497,-0.42443830393443965,0.4891776960102403,2.314128128128292,-0.7781205177307129
0,7,0.7000000000000001,model_a,-0.5008597815776925,-0.6679782326874573,-0.08516374684642285,-0.17877087701390273,0.7223848700523376
0,7,0.7000000000000001,model_b,-0.46202360194354464,-0.8307250151850026,0.07311728155285958,0.10720876820198977,-0.45583057403564453
0,7,0.7000000000000001,model_rnn,-0.30036532650838893,-0.4274186387827392,0.7205905088230695,3.505060375296058,-0.8607560396194458
0,8,0.8,model_a,-0.5676576048464382,-0.5472557290090794,-0.10304083454781313,-0.0855393009173464,0.832633376121521
0,8,0.8,model_b,-0.545096103462045,-0.8789315689092363,0.08383815837305857,0.16578048477443014,-0.501043975353241
0,8,0.8,model_rnn,-0.3431071903866629,-0.38351122455130215,1.0710965463526754,5.380153552361768,-0.9159262180328369
0,9,0.9,model_a,-0.6223831777473462,-0.41346574203685205,-0.11159476463954776,-0.0034259627495807354,0.8664490580558777
0,9,0.9,model_b,-0.6329892603529685,-0.9316148693411889,0.10041620685050158,0.23942142540308825,-0.5768444538116455
0,9,0.9,model_rnn,-0.3814583128417931,-0.25674259986276804,1.6091119015888522,8.321116505198036,-0.9475488662719727
0,10,1.0,model_a,-0.6637297519510315,-0.27824950736537385,-0.11193736091450583,0.061299675206260174,0.8396009802818298
0,10,1.0,model_b,-0.7261507472870874,-0.9926885483309973,0.1243583493908104,0.33269422945657234,-0.6926456093788147
0,10,1.0,model_rnn,-0.4071325728280699,0.005781342861189864,2.4412235521086556,12.919575310418912,-0.959909200668335
0,11,1.1,model_a,-0.6915547026875688,-0.15046676468853482,-0.10580739339387982,0.10659955462389242,0.7695617079734802
0,11,1.1,model_b,-0.8254196021201872,-1.067303601744278,0.15762777233646763,0.4507590694524486,-0.8666906952857971
0,11,1.1,model_rnn,-0.40655443854195095,0.4837036852182565,3.733181083150547,20.095160816880114,-0.9622170925140381
0,12,1.2000000000000002,model_a,-0.7066013791564223,-0.03610426731580885,-0.09514743793149058,0.1333599307811688,0.6729597449302673
0,12,1.2000000000000002,model_b,-0.932149962294615,-1.1633091410499525,0.20270367928171248,0.5968387129544632,-1.0673822164535522
0,12,1.2000000000000002,model_rnn,-0.3581840700201253,1.2978485142543734,5.7426971648385585,31.276533662425837,-0.9622946977615356
0,13,1.3,model_a,-0.7102118058880031,0.061464001818574046,-0.0818114448533737,0.1442414340313637,0.5640382170677185
0,13,1.3,model_b,-1.0484808763996103,-1.2820043081620975,0.2623875505771588,0.7966079360086871,-1.3477275371551514
0,13,1.3,model_rnn,-0.22839921859468795,2.6343054474032437,8.870350531081142,48.686900684824465,-0.9622869491577148
0,14,1.4000000000000001,model_a,-0.7040654057061457,0.14101930563908044,-0.06738730145023733,0.14275214808581355,0.45392438769340515
0,14,1.4000000000000001,model_b,-1.17668130721582,-1.4335525037390793,0.3420483441780275,1.0604390538490271,-1.7084856033325195
0,14,1.4000000000000001,model_rnn,0.03503132614563645,4.782462017861622,13.73904059956359,75.78911116589774,-0.9622887372970581
0,15,1.5,model_a,-0.6899634751422377,0.20296358228146177,-0.053112086641655974,0.13256271294252733,0.3504958748817444
0,15,1.5,model_b,-1.320036557589728,-1.6266350084580936,0.4480922495629302,1.4155632843101171,-2.1776366233825684
0,15,1.5,model_rnn,0.5132775279317987,8.192922668959284,21.317951716153363,117.97512908166898,-0.9622890949249268
0,16,1.6,model_a,-0.6696671169140915,0.24879293437812566,-0.03985581534740324,0.11704918610395015,0.25864675641059875
0,16,1.6,model_b,-1.4827000584355372,-1.8731495311269362,0.5896485779939419,1.896862820792374,-2.7538719177246094
0,16,1.6,model_rnn,1.332569794827727,13.567155812654667,33.11546462432026,183.63853151898786,-0.9622890949249268
0,17,1.7000000000000002,model_a,-0.6447878234762789,0.28063342384552975,-0.028150896737008227,0.09903151963773085,0.18078109622001648
0,17,1.7000000000000002,model_b,-1.6700150115482308,-2.182099059404979,0.7793348600731793,2.5688231465617517,-3.530231237411499
0,17,1.7000000000000002,model_rnn,2.689285376093194,21.997053113487805,51.47931777621905,285.8444110985146,-0.9622890949249268
0,18,1.8,model_a,-0.616724481091726,0.3008671641265378,-0.01824774477323514,0.0806656589890397,0.11739714443683624
0,18,1.8,model_b,-1.8882249174887287,-2.575864687387658,1.0362171747293545,3.493387493917598,-4.593735694885254
0,18,1.8,model_rnn,4.888990687441975,35.18218423094832,80.06375888607052,444.9288972491043,-0.9622892141342163
