initial_state,full_control_sequence
"[0.005532073652660119, 0.09122901721056476, -0.04877343067940565, 0.051697582235438355]","[ 0.74192307  0.27558278  0.02146959 -0.11686288 -0.18787002 -0.21830342
 -0.22408545 -0.21517224 -0.19795186 -0.17655361]"
"[0.17865033941429215, 0.20992209879130141, 0.0873983594890393, -0.11693055599552066]","[-0.6753739  -0.47749613 -0.34512559 -0.25144349 -0.18279352 -0.13140777
 -0.09243507 -0.06263371 -0.03973783 -0.02211587]"
"[0.23747514601351621, -0.050746293054743596, 0.09139067587794834, -0.20332927023750613]","[-0.7810138  -0.40584871 -0.18322005 -0.0479874   0.03380394  0.08160305
  0.10738584  0.11888232  0.12121584  0.11782359]"
"[0.18328941567972323, 0.3936859800903839, 0.09006446093498245, -0.2565900055940953]","[-0.06164536 -0.32797397 -0.43557851 -0.463867   -0.45081755 -0.41627071
 -0.37137082 -0.32266672 -0.27406361 -0.2278509 ]"
"[-0.17098113144402502, -0.24953483967336507, 0.0011269343891383288, -0.25118247633446367]","[0.32178648 0.30624709 0.2883295  0.26445599 0.23614229 0.20575149
 0.17526735 0.14607028 0.11901007 0.09453889]"
"[0.19003635788162354, -0.07833976859359226, -0.06673856018635843, 0.14452436201089713]","[ 0.63456692  0.27491685  0.0744858  -0.03701839 -0.09593189 -0.12281127
 -0.13010512 -0.12567792 -0.11460068 -0.10015547]"
"[-0.09042767656975684, 0.09045522481380908, 0.06354577602383589, -0.05970662361946394]","[-0.7676476  -0.36195371 -0.13500289 -0.00595732  0.06572247  0.10240453
  0.11741816  0.11912521  0.11292073  0.10232163]"
"[-0.06546581546610286, -0.15401365707525866, 0.09357419151582667, 0.16858368521878675]","[-1.00000001 -1.00000001 -1.00000001 -1.00000001 -1.00000001 -0.95971557
  0.12611634  0.68465978  0.95183453  0.99999998]"
"[-0.19549837743485854, -0.01955808738127196, -0.02442335576938784, 0.0222799238211443]","[0.18982197 0.1564339  0.1279122  0.10299054 0.08118572 0.06223444
 0.04591611 0.03200725 0.0202772  0.01049452]"
"[0.21039108306150028, 0.42233157352633155, -0.005846317294012235, -0.2888089441565324]","[ 1.00000001  1.          0.1464513  -0.40792665 -0.68009428 -0.79174459
 -0.80967771 -0.77330955 -0.70698947 -0.62608228]"
"[0.012000663940994083, 0.264816837083489, -0.0074961604723456365, -0.09285194251101994]","[ 0.74305818  0.16324001 -0.13790014 -0.29070453 -0.35939392 -0.37874142
 -0.36908762 -0.34295848 -0.3082736  -0.27006899]"
